Dataset name: LMR
Dataset details: lmr v.2_1_0 tas annual
Method(s): ['LMR']
Lat/lon or region: 30.0 degN -90.0 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/27850
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR mean (degrees Celsius)
1298.00,0.11
1299.00,-0.03
1300.00,-0.02
1301.00,0.04
1302.00,-0.05
1303.00,0.17
1304.00,0.15
1305.00,0.14
1306.00,0.26
1307.00,0.02
1308.00,0.17
1309.00,0.00
1310.00,0.10
1311.00,0.24
1312.00,0.02
1313.00,0.14
1314.00,0.09
1315.00,0.07
1316.00,0.10
1317.00,0.10
1318.00,-0.02
1319.00,0.10
1320.00,-0.05
1321.00,0.06
1322.00,0.16
1323.00,0.17
1324.00,0.10
1325.00,0.28
1326.00,0.11
1327.00,0.28
1328.00,0.29
1329.00,-0.04
1330.00,-0.07
1331.00,0.06
1332.00,0.35
1333.00,0.09
1334.00,0.02
1335.00,-0.13
1336.00,-0.04
1337.00,-0.02
1338.00,-0.01
1339.00,0.05
1340.00,0.13
1341.00,0.17
1342.00,0.15
1343.00,-0.02
1344.00,0.05
1345.00,-0.04
1346.00,-0.16
1347.00,-0.15
1348.00,-0.02
1349.00,-0.10
1350.00,-0.18
1351.00,0.19
1352.00,-0.09
1353.00,-0.09
1354.00,-0.34
1355.00,-0.13
1356.00,-0.30
1357.00,-0.15
1358.00,-0.21
1359.00,-0.13
1360.00,-0.12
1361.00,-0.16
1362.00,-0.03
1363.00,0.08
1364.00,-0.07
1365.00,0.03
1366.00,0.09
1367.00,0.26
1368.00,0.33
1369.00,0.16
1370.00,0.06
1371.00,0.11
1372.00,-0.01
1373.00,-0.08
1374.00,0.22
1375.00,-0.00
1376.00,0.23
1377.00,0.33
1378.00,0.15
1379.00,0.15
1380.00,0.14
1381.00,0.15
1382.00,0.18
1383.00,0.16
1384.00,0.00
1385.00,-0.15
1386.00,-0.24
1387.00,-0.16
1388.00,0.27
1389.00,0.22
1390.00,0.22
1391.00,0.12
1392.00,0.20
1393.00,0.19
1394.00,0.19
1395.00,0.27
1396.00,0.12
1397.00,0.30
1398.00,0.21
1399.00,-0.00
1400.00,0.20
1401.00,0.17
1402.00,0.26
1403.00,0.34
1404.00,0.49
1405.00,0.39
1406.00,0.27
1407.00,0.46
1408.00,0.05
1409.00,0.35
1410.00,0.16
1411.00,0.14
1412.00,0.43
1413.00,0.17
1414.00,0.10
1415.00,0.22
1416.00,0.48
1417.00,0.43
1418.00,0.21
1419.00,0.31
1420.00,0.16
1421.00,0.13
1422.00,0.29
1423.00,0.20
1424.00,0.17
1425.00,0.10
1426.00,0.09
1427.00,0.22
1428.00,0.47
1429.00,0.14
1430.00,0.17
1431.00,0.22
1432.00,0.29
1433.00,0.44
1434.00,0.27
1435.00,0.17
1436.00,0.40
1437.00,0.39
1438.00,0.37
1439.00,0.26
1440.00,0.38
1441.00,0.34
1442.00,0.48
1443.00,0.38
1444.00,0.27
1445.00,0.33
1446.00,0.15
1447.00,0.33
1448.00,0.40
1449.00,0.25
1450.00,0.11
1451.00,0.17
1452.00,0.20
1453.00,-0.33
1454.00,0.04
1455.00,0.03
1456.00,0.00
1457.00,-0.18
1458.00,-0.24
1459.00,-0.13
1460.00,0.04
1461.00,0.01
1462.00,-0.03
1463.00,-0.03
1464.00,0.15
1465.00,0.02
1466.00,0.16
1467.00,0.02
1468.00,-0.09
1469.00,0.08
1470.00,-0.07
1471.00,-0.16
1472.00,-0.29
1473.00,-0.26
1474.00,0.06
1475.00,0.05
1476.00,0.17
1477.00,0.09
1478.00,0.18
1479.00,0.07
1480.00,-0.03
